movie_title,genre_5
Muppet Treasure Island,Adventure
Race the Sun,Family
Congo,Science
The Net,Action
Bushwhacked,Family
Disclosure,Romance
A Goofy Movie,Adventure
Maverick,Western
Fall Time,Thriller
Bad Girls,Western
Widows' Peak,Foreign
The Fugitive,Mystery
In the Line of Fire,Mystery
Last Action Hero,Family
North,Science
Radioland Murders,Mystery
The Shadow,Science
Tombstone,Western
Ghost,Romance
Aladdin,Fantasy
Beauty and the Beast,Music
All Dogs Go to Heaven 2,Fantasy
Space Jam,Fantasy
To Catch a Thief,Thriller
Around the World in Eighty Days,Romance
Beat the Devil,Drama
The Glimmer Man,Thriller
Bedknobs and Broomsticks,Family
The Return of Martin Guerre,Romance
The Princess Bride,Romance
Henry V,Romance
Das Boot,Adventure
The Great Escape,War
The Believers,Thriller
Nightwatch,Thriller
Young Guns,Western
Grease 2,Romance
The Last of the Mohicans,Romance
Murder at 1600,Crime
Hearts and Minds,Foreign
Zeus & Roxanne,Romance
First Strike,Drama
Metro,Thriller
Touch,Romance
Smilla's Sense of Snow,Thriller
Turbo: A Power Rangers Movie,Science
"Truth or Consequences, N.M.",Thriller
The Fifth Element,Science
Hercules,Comedy
Spawn,Science
A Life Less Ordinary,Science
Four Days in September,Thriller
Spice World,Music
Palmetto,Crime
Suicide Kings,Thriller
Homegrown,Crime
The Borrowers,Family
Quest for Camelot,Family
Lethal Weapon 4,Thriller
Lethal Weapon,Crime
Lethal Weapon 2,Thriller
Lethal Weapon 3,Crime
Herbie Goes To Monte Carlo,Adventure
The Negotiator,Mystery
Peter Pan,Fantasy
Popeye,Music
The Rescuers Down Under,Fantasy
All Dogs Go to Heaven,Fantasy
Doctor Dolittle,Music
The Navigator: A Medieval Odyssey,Mystery
The Man Who Knew Too Much,Thriller
Vampires,Thriller
Babe: Pig in the City,Fantasy
The Prince of Egypt,Music
Young Sherlock Holmes,Family
"The Karate Kid, Part II",Family
Mighty Joe Young,Science
Westworld,Science
SLC Punk,Music
Dick Tracy,Crime
The Mummy's Tomb,Thriller
Superman III,Science
The Red Violin,Romance
Mystery Men,Science
The Iron Giant,Science
Big,Family
Tequila Sunrise,Thriller
The Limey,Thriller
Who Framed Roger Rabbit,Family
The Messenger: The Story of Joan of Arc,War
Tora! Tora! Tora!,War
Fatal Attraction,Mystery
Backdraft,Thriller
Boiling Point,Thriller
The Presidio,Mystery
Against All Odds,Mystery
The Bodyguard,Romance
The Big Combo,Mystery
Cool as Ice,Romance
Teenage Mutant Ninja Turtles III,Fantasy
Solar Crisis,Science
Rules of Engagement,War
Firestarter,Thriller
The Adventures of Rocky & Bullwinkle,Family
Shaft in Africa,Mystery
Sinbad and the Eye of the Tiger,Science
White Sands,Thriller
Bronco Billy,Western
The Spiral Staircase,Thriller
What Ever Happened to Aunt Alice?,Thriller
The Private Eyes,Horror
Lucky Numbers,Romance
Charlie's Angels,Thriller
The Eagle Has Landed,War
Proof of Life,Thriller
The Emperor's New Groove,Fantasy
The Alamo,Western
Double Take,Romance
Coffy,Crime
The Brave Little Toaster,Family
Extreme Prejudice,Western
Hiding Out,Family
The Monster Squad,Science
Monkeybone,Comedy
3000 Miles to Graceland,Crime
The Fantasticks,Science
Death Warrant,Thriller
Joe Dirt,Drama
Shrek,Fantasy
City Slickers,Western
The Sand Pebbles,Romance
Von Ryan's Express,War
Final Fantasy: The Spirits Within,Science
Dead Heat,Science
Off Limits,Thriller
Return to Snowy River,Family
The Man from Snowy River,Romance
Sunset,Thriller
Earth Girls Are Easy,Science
Family Business,Thriller
Leviathan,Science
Lock Up,Thriller
The Package,Thriller
Pink Cadillac,Romance
Turner & Hooch,Family
The Wizard,Romance
Who'll Stop the Rain,Action
"Zorro, The Gay Blade",Romance
Paint Your Wagon,Music
Osmosis Jones,Family
The Curse of the Jade Scorpion,Thriller
Kill Me Later,Crime
Phantom of the Paradise,Thriller
Cruising,Thriller
Brannigan,Thriller
The Devil's Backbone,Science
Lone Wolf McQuade,Thriller
Bill & Ted's Bogus Journey,Science
Sheena,Science
Jimmy Neutron: Boy Genius,Family
Little Otik,Comedy
Another 48 Hrs.,Drama
48 Hrs.,Drama
Crossroads,Family
Vampire Hunter D: Bloodlust,Horror
Crimes of Passion,Crime
Cuba,Adventure
The Big Sleep,Mystery
The Charge of the Light Brigade,War
Spirit: Stallion of the Cimarron,Family
The Emperor's New Clothes,Romance
Traces of Red,Mystery
V.I. Warshawski,Thriller
Mo' Money,Romance
The Care Bears Movie,Science
Love Me Tender,Romance
8 Women,Mystery
Jonah: A VeggieTales Movie,Family
The Incredible Mr. Limpet,Science
Tuck Everlasting,Science
Southern Comfort,Thriller
They All Laughed,Romance
Treasure Planet,Science
What to Do in Case of Fire?,Romance
Class of 1984,Thriller
Deathtrap,Romance
Intacto,Science
A Kiss Before Dying,Romance
Chicago,Music
Heavy Metal 2000,Science
Endangered Species,Science
Enigma,Foreign
The Pirate Movie,Music
Till Human Voices Wake Us,Thriller
Basic,Crime
Legal Eagles,Thriller
Castle in the Sky,Family
Gay Purr-ee,Family
Knights of the Round Table,Drama
The Advocate,Romance
Bad Boys II,Crime
Loose Cannons,Thriller
Spy Kids 3-D: Game Over,Science
Buffalo Soldiers,Thriller
"Lucía, Lucía",Crime
The Private Life of Sherlock Holmes,Romance
Bubba Ho-tep,Fantasy
Bugsy Malone,Family
Where Eagles Dare,War
Tough Guys Don't Dance,Thriller
Interstate 60,Mystery
The Magic Sword,Family
Mail Order Bride,Thriller
The Haunted Mansion,Mystery
Hercules in New York,Science
Thunderheart,Thriller
The Adventures of Ford Fairlane,Mystery
Hells Angels on Wheels,Crime
To Have and Have Not,Romance
No Good Deed,Thriller
Money for Nothing,Crime
Chitty Chitty Bang Bang,Family
The Thief of Bagdad,Fantasy
Allegro non troppo,Science
Twisted,Thriller
Spartan,Crime
The Wind in the Willows,Adventure
Night Crossing,Foreign
Intermission,Mystery
Never Die Alone,Thriller
Bandolero!,Romance
Explorers,Science
To Hell and Back,War
The Warriors,Thriller
Song of the Thin Man,Thriller
Bring Me the Head of Alfredo Garcia,Western
The People Under the Stairs,Thriller
The Yakuza,Thriller
Infernal Affairs,Mystery
Harper,Mystery
Drums Along the Mohawk,Western
Shrek 2,Fantasy
Helen of Troy,War
Tank,Thriller
Mr. Klein,Thriller
The Enemy Below,Thriller
King of the Ants,Thriller
Sherlock Holmes and the Secret Weapon,Mystery
The Assassination Bureau,Adventure
Thunderbirds,Fantasy
Castle Keep,War
Yu-Gi-Oh! The Movie,Comedy
Harum Scarum,Romance
The Forgotten,Science
Team America: World Police,Comedy
San Antonio,Western
Alexander,Drama
Alexander the Great,Romance
Scarface,Thriller
The Ghoul,Mystery
Brother Orchid,Crime
All Through the Night,War
Annie Get Your Gun,Western
Samurai III: Duel at Ganryu Island,History
The Vikings,Romance
Murder at the Gallop,Comedy
"Hush... Hush, Sweet Charlotte",Thriller
The Bride Wore Black,Crime
Executive Action,Thriller
The Hound of the Baskervilles,Crime
Rock & Rule,Science
Rumble Fish,Romance
The Fourth Man,Thriller
Quigley Down Under,Drama
The Bride with White Hair,Science
Addams Family Reunion,TV
Vidocq,Science
Beautiful Joe,Romance
The 10th Kingdom,Mystery
Blood: The Last Vampire,Thriller
Double Vision,Foreign
Pistol Opera,Foreign
Killing Emmett Young,Thriller
The Warrior,Foreign
Dead or Alive: Final,Science
Love Object,Thriller
The Cat Returns,Family
Saints and Soldiers,War
Azumi,Romance
Tae Guk Gi: The Brotherhood of War,War
The Narrow Margin,Thriller
El Cid,War
The Pacifier,Thriller
The Cat and the Canary,Mystery
Godzilla vs. Mechagodzilla II,Science
Zu: Warriors from the Magic Mountain,Mystery
Sahara,Mystery
The Eiger Sanction,Mystery
xXx: State of the Union,Mystery
Kingdom of Heaven,War
DuckTales: The Movie - Treasure of the Lost Lamp,Fantasy
Herbie Fully Loaded,Romance
The Order,Thriller
Secuestro Express,Foreign
Attila,History
The Brothers Grimm,Thriller
The Proposition,Thriller
Left Behind III: World at War,Science
Joyeux Noël,Music
The Ice Harvest,Drama
The Promise,Romance
The Matador,Thriller
The Three Burials of Melquiades Estrada,Western
7 Faces of Dr. Lao,Western
The Dunwich Horror,Thriller
On Probation,Drama
As Tears Go By,Romance
Orfeu,Foreign
The Pink Panther,Family
Just My Luck,Romance
Youth of the Beast,Foreign
United 93,Action
My Super Ex-Girlfriend,Crime
High School Musical,TV
The Public Eye,Thriller
Coonskin,Drama
Night at the Museum,Fantasy
The Ant Bully,Family
A Canterbury Tale,Mystery
The Covenant,Science
Gabrielle,Romance
Everyone's Hero,Drama
Flyboys,Romance
Jade Warrior,Fantasy
The Dam Busters,War
The Myth,Fantasy
The Place Promised in Our Early Days,Science
The Good German,Romance
Happily N'Ever After,Science
Tell Me Something,Thriller
Izo,Horror
Mafioso,Foreign
Shooter,Crime
The Invisible,Thriller
Desperation,Mystery
Shrek the Third,Family
The Librarian: Quest for the Spear,Drama
Nancy Drew,Mystery
The Night of the Generals,Mystery
Heart of the Dragon,Thriller
Murder Most Foul,Comedy
September Dawn,Romance
The Good Night,Music
In the Valley of Elah,Mystery
The Seeker: The Dark Is Rising,Thriller
10th & Wolf,Thriller
Citizen Dog,Science
I Am Legend,Science
Alvin and the Chipmunks,Animation
Battlestar Galactica: Razor,53
Santa Claus Conquers the Martians,Fantasy
Dragon Wars: D-War,Thriller
Arranged,Romance
Rise of the Footsoldier,Thriller
Already Dead,Thriller
Jodhaa Akbar,Romance
Horton Hears a Who!,Fantasy
CJ7,Science
Hero Wanted,Thriller
The Unknown Soldier,Foreign
The Mark of Zorro,Romance
The Protector,Drama
Battle For Haditha,War
The Machine Girl,Horror
The Midnight Meat Train,Horror
13 Beloved,Crime
Fly Me to the Moon,Science
Sukiyaki Western Django,Thriller
The Spirit,Science
Thieves,Foreign
Dead Fury,Family
"The Tulse Luper Suitcases, Part 1: The Moab Story",Romance
The Flight Before Christmas,Fantasy
High School Musical 3: Senior Year,Romance
The War Lord,Adventure
Camp Rock,TV
While She Was Out,Thriller
The Manson Family,History
Dinotopia,Science
Shrek the Halls,Family
Delgo,Science
The Little Giant,Romance
A Chinese Ghost Story II,Comedy
The Curious Case of Benjamin Button,Romance
Chandu the Magician,Science
Fear(s) of the Dark,Mystery
Red Sands,Horror
Rock-A-Doodle,Music
Knowing,Science
The Baader Meinhof Complex,Thriller
A Force of One,Thriller
Red Cliff Part II,Thriller
Night at the Museum: Battle of the Smithsonian,Family
Graduation,Drama
Don,Foreign
Hustle,Mystery
Lady Death,Science
The Lucky Texan,Western
Aliens in the Attic,Science
Hannah Montana: The Movie,Romance
G-Force,Comedy
Fighting,Thriller
Murder Ahoy,Comedy
I Want You,Romance
The 3 Worlds of Gulliver,Family
Legionnaire,Thriller
Moon Warriors,Foreign
Top Dog,Thriller
MVP: Most Valuable Primate,Family
Alvin and the Chipmunks: The Squeakquel,Music
Daybreakers,Science
Princess,Romance
Horsemen,Thriller
Hum Tum,Foreign
Air Force,War
Unconquered,Romance
The Red Baron,War
Space Pirate Captain Harlock: Arcadia of My Youth,Science
Bitch Slap,Crime
The Girl Who Played with Fire,Mystery
Darling Lili,Romance
Eden Log,Science
A Town Called Panic,Fantasy
Green Zone,Thriller
Taras Bulba,War
North Face,Thriller
Bunty Aur Babli,Romance
The Losers,Thriller
Operator 13,History
Love the Beast,Mystery
Donkey Skin,Romance
Godspeed,Mystery
Jonah Hex,Thriller
The A-Team,Crime
Shrek Forever After,Family
The Wild Hunt,Science
The Deal,Thriller
Gumshoe,Thriller
The Sorcerer's Apprentice,Drama
Zigeunerweisen,Romance
North West Mounted Police,Western
Call Me Madam,Family
Spider Forest,Thriller
TEKKEN,Science
Retribution,Mystery
Senseless,Horror
The Paper Will Be Blue,Foreign
Alice in Wonderland,Science
"Murder, Inc.",Mystery
Rubber,Mystery
RED,Thriller
"Road, Movie",Foreign
Black Death,Mystery
Megamind,Science
The Small Town,Thriller
Tales of an Ancient Empire,Thriller
The Damned,Science
Linewatch,Thriller
You and I,Foreign
All Good Things,Romance
Malice in Wonderland,Crime
Crown witness,Romance
The Warrior's Way,Thriller
Rango,Adventure
Formosa Betrayed,Thriller
The Crimson Kimono,Mystery
The Bastards,Thriller
Nora Roberts' Blue Smoke,TV
The Double Hour,Thriller
The Mattei Affair,Thriller
Lazybones,Comedy
Burn Notice: The Fall of Sam Axe,Thriller
Green Fish,Foreign
Killing Auntie,Horror
The Buccaneer,Romance
The Smurfs,Fantasy
Dylan Dog: Dead of Night,Science
Miranda,Science
Stake Land,Science
Skeletons,Foreign
Sherlock Holmes,Thriller
Enthiran,Science
The Boss,Foreign
Johnny English Reborn,Thriller
Nora's Will,Foreign
Batman: Year One,Science
The Devil's Double,War
The White Dragon,Fantasy
Violet & Daisy,Comedy
The Snowman,Fantasy
Alvin and the Chipmunks: Chipwrecked,Animation
Machine Gun McCain,Foreign
Ladies vs Ricky Bahl,Foreign
The Disappearance of Haruhi Suzumiya,Science
Red Tails,War
