movie_title,genre_2
Toy Story,Comedy
Jumanji,Fantasy
Grumpier Old Men,Comedy
Waiting to Exhale,Drama
Tom and Huck,Adventure
Sudden Death,Adventure
GoldenEye,Action
The American President,Drama
Dracula: Dead and Loving It,Horror
Balto,Animation
Nixon,Drama
Cutthroat Island,Adventure
Casino,Crime
Four Rooms,Comedy
Ace Ventura: When Nature Calls,Comedy
Money Train,Comedy
Get Shorty,Thriller
Copycat,Thriller
Assassins,Adventure
Powder,Fantasy
Leaving Las Vegas,Romance
Now and Then,Drama
The City of Lost Children,Science
Shanghai Triad,Crime
Dangerous Minds,Crime
Wings of Courage,Adventure
Babe,Drama
Carrington,Drama
Across the Sea of Time,History
Clueless,Drama
Dead Presidents,Crime
Restoration,Romance
Mortal Kombat,Fantasy
To Die For,Drama
How To Make An American Quilt,Romance
Se7en,Mystery
Pocahontas,Animation
When Night Is Falling,Romance
The Usual Suspects,Crime
Guardian Angel,Thriller
Mighty Aphrodite,Romance
Lamerica,Foreign
The Big Green,Adventure
The Confessional,Drama
The Indian in the Cupboard,Family
Eye for an Eye,Thriller
Mr. Holland's Opus,Drama
Two If by Sea,Romance
Lawnmower Man 2: Beyond Cyberspace,Science
Two Bits,Family
French Twist,Romance
From Dusk Till Dawn,Action
Kicking and Screaming,Drama
Big Bully,Family
The Crossing Guard,Thriller
The Juror,Thriller
The White Balloon,Drama
Things to Do in Denver When You're Dead,Crime
Antonia's Line,Comedy
Once Upon a Time... When We Were Colored,Drama
Angels and Insects,Romance
White Squall,Drama
Dunston Checks In,Comedy
Nick of Time,Drama
Mary Reilly,Horror
Vampire in Brooklyn,Horror
Beautiful Girls,Drama
Broken Arrow,Adventure
Shopping,Adventure
City Hall,Thriller
Bottle Rocket,Crime
Mr. Wrong,Romance
The Bridges of Madison County,Romance
Nobody Loves Me,Comedy
Muppet Treasure Island,Comedy
Braveheart,Drama
Taxi Driver,Drama
Rumble in the Bronx,Action
Before and After,Thriller
Anne Frank Remembered,Drama
