movie_title,genre_7
Young Sherlock Holmes,Thriller
Against All Odds,Thriller
Jimmy Neutron: Boy Genius,Science
Crossroads,Romance
Vampire Hunter D: Bloodlust,Science
Jonah: A VeggieTales Movie,Romance
The Advocate,Comedy
"Lucía, Lucía",Foreign
Yu-Gi-Oh! The Movie,Science
The Librarian: Quest for the Spear,Romance
Moon Warriors,Science
MVP: Most Valuable Primate,Romance
One of Our Dinosaurs Is Missing,Thriller
Negative Happy Chain Saw Edge,Foreign
Raffles,Thriller
Holiday,Foreign
Cool Cat Saves the Kids,Music
Black Butler,Drama
