imdb_id,movie_title,imdb_url
tt0114709,Toy Story,https://www.imdb.com/title/tt0114709
tt0113497,Jumanji,https://www.imdb.com/title/tt0113497
tt0113228,Grumpier Old Men,https://www.imdb.com/title/tt0113228
tt0114885,Waiting to Exhale,https://www.imdb.com/title/tt0114885
tt0113041,Father of the Bride Part II,https://www.imdb.com/title/tt0113041
tt0113277,Heat,https://www.imdb.com/title/tt0113277
tt0114319,Sabrina,https://www.imdb.com/title/tt0114319
tt0112302,Tom and Huck,https://www.imdb.com/title/tt0112302
tt0114576,Sudden Death,https://www.imdb.com/title/tt0114576
tt0113189,GoldenEye,https://www.imdb.com/title/tt0113189
tt0112346,The American President,https://www.imdb.com/title/tt0112346
tt0112896,Dracula: Dead and Loving It,https://www.imdb.com/title/tt0112896
tt0112453,Balto,https://www.imdb.com/title/tt0112453
tt0113987,Nixon,https://www.imdb.com/title/tt0113987
tt0112760,Cutthroat Island,https://www.imdb.com/title/tt0112760
tt0112641,Casino,https://www.imdb.com/title/tt0112641
tt0114388,Sense and Sensibility,https://www.imdb.com/title/tt0114388
tt0113101,Four Rooms,https://www.imdb.com/title/tt0113101
tt0112281,Ace Ventura: When Nature Calls,https://www.imdb.com/title/tt0112281
tt0113845,Money Train,https://www.imdb.com/title/tt0113845
tt0113161,Get Shorty,https://www.imdb.com/title/tt0113161
tt0112722,Copycat,https://www.imdb.com/title/tt0112722
tt0112401,Assassins,https://www.imdb.com/title/tt0112401
tt0114168,Powder,https://www.imdb.com/title/tt0114168
tt0113627,Leaving Las Vegas,https://www.imdb.com/title/tt0113627
tt0114057,Othello,https://www.imdb.com/title/tt0114057
tt0114011,Now and Then,https://www.imdb.com/title/tt0114011
tt0114117,Persuasion,https://www.imdb.com/title/tt0114117
tt0112682,La Cité des Enfants Perdus,https://www.imdb.com/title/tt0112682
tt0115012,摇啊摇，摇到外婆桥,https://www.imdb.com/title/tt0115012
tt0112792,Dangerous Minds,https://www.imdb.com/title/tt0112792
tt0114746,Twelve Monkeys,https://www.imdb.com/title/tt0114746
tt0114952,Guillaumet les ailes du courage,https://www.imdb.com/title/tt0114952
tt0112431,Babe,https://www.imdb.com/title/tt0112431
tt0112637,Carrington,https://www.imdb.com/title/tt0112637
tt0112818,Dead Man Walking,https://www.imdb.com/title/tt0112818
tt0112286,Across the Sea of Time,https://www.imdb.com/title/tt0112286
tt0113442,It Takes Two,https://www.imdb.com/title/tt0113442
tt0112697,Clueless,https://www.imdb.com/title/tt0112697
tt0112749,Cry the Beloved Country,https://www.imdb.com/title/tt0112749
tt0114279,Richard III,https://www.imdb.com/title/tt0114279
tt0112819,Dead Presidents,https://www.imdb.com/title/tt0112819
tt0114272,Restoration,https://www.imdb.com/title/tt0114272
tt0113855,Mortal Kombat,https://www.imdb.com/title/tt0113855
tt0114681,To Die For,https://www.imdb.com/title/tt0114681
tt0113347,How To Make An American Quilt,https://www.imdb.com/title/tt0113347
tt0114369,Se7en,https://www.imdb.com/title/tt0114369
tt0114148,Pocahontas,https://www.imdb.com/title/tt0114148
tt0114916,When Night Is Falling,https://www.imdb.com/title/tt0114916
tt0114814,The Usual Suspects,https://www.imdb.com/title/tt0114814
tt0109950,Guardian Angel,https://www.imdb.com/title/tt0109950
tt0113819,Mighty Aphrodite,https://www.imdb.com/title/tt0113819
tt0110299,Lamerica,https://www.imdb.com/title/tt0110299
tt0112499,The Big Green,https://www.imdb.com/title/tt0112499
tt0113158,Georgia,https://www.imdb.com/title/tt0113158
tt0113541,Kids of the Round Table,https://www.imdb.com/title/tt0113541
tt0113321,Home for the Holidays,https://www.imdb.com/title/tt0113321
tt0110877,Il postino,https://www.imdb.com/title/tt0110877
tt0112714,Le confessionnal,https://www.imdb.com/title/tt0112714
tt0113419,The Indian in the Cupboard,https://www.imdb.com/title/tt0113419
tt0116260,Eye for an Eye,https://www.imdb.com/title/tt0116260
tt0113862,Mr. Hollands Opus,https://www.imdb.com/title/tt0113862
tt0116126,Dont Be a Menace to South Central While Drinking Your Juice in the Hood,https://www.imdb.com/title/tt0116126
tt0118002,Two If by Sea,https://www.imdb.com/title/tt0118002
tt0115683,Bio-Dome,https://www.imdb.com/title/tt0115683
tt0116839,Lawnmower Man 2: Beyond Cyberspace,https://www.imdb.com/title/tt0116839
tt0114753,Two Bits,https://www.imdb.com/title/tt0114753
tt0113149,Gazon maudit,https://www.imdb.com/title/tt0113149
tt0113118,Friday,https://www.imdb.com/title/tt0113118
tt0116367,From Dusk Till Dawn,https://www.imdb.com/title/tt0116367
tt0113010,Fair Game,https://www.imdb.com/title/tt0113010
tt0113537,Kicking and Screaming,https://www.imdb.com/title/tt0113537
tt0113828,Les misérables,https://www.imdb.com/title/tt0113828
tt0115644,Bed of Roses,https://www.imdb.com/title/tt0115644
tt0115676,Big Bully,https://www.imdb.com/title/tt0115676
tt0114367,Screamers,https://www.imdb.com/title/tt0114367
tt0113973,Nico Icon,https://www.imdb.com/title/tt0113973
