movie_title,genre_3
Toy Story,Family
Jumanji,Family
Waiting to Exhale,Romance
Tom and Huck,Drama
Sudden Death,Thriller
GoldenEye,Thriller
The American President,Romance
Balto,Adventure
Ace Ventura: When Nature Calls,Adventure
Money Train,Crime
Get Shorty,Crime
Assassins,Crime
Powder,Science
Now and Then,Family
Babe,Comedy
Carrington,Romance
Across the Sea of Time,Drama
It Takes Two,Romance
Clueless,Romance
Dead Presidents,Drama
To Die For,Comedy
Se7en,Thriller
Pocahontas,Drama
The Usual Suspects,Thriller
Guardian Angel,Drama
The Big Green,Comedy
The Postman,Romance
The Confessional,Mystery
The Indian in the Cupboard,Fantasy
Mr. Holland's Opus,Family
From Dusk Till Dawn,Thriller
Kicking and Screaming,Romance
Dunston Checks In,Family
Nick of Time,Thriller
Mary Reilly,Thriller
Vampire in Brooklyn,Romance
Beautiful Girls,Romance
Broken Arrow,Drama
Shopping,Drama
Bottle Rocket,Drama
Unforgettable,Science
Nobody Loves Me,Family
Muppet Treasure Island,Music
Braveheart,History
Rumble in the Bronx,Comedy
Anne Frank Remembered,Foreign
The Young Poisoner's Handbook,Drama
Race the Sun,Comedy
Chungking Express,Romance
Frankie Starlight,War
Jade,Mystery
Nueba Yol,Romance
The Brothers McMullen,Romance
The Amazing Panda Adventure,Drama
An Awfully Big Adventure,Comedy
Amateur,Drama
Batman Forever,Fantasy
Casper,Family
Clockers,Drama
Congo,Drama
Crimson Tide,Drama
Desperado,Crime
Devil in a Blue Dress,Thriller
The Doom Generation,Crime
First Knight,Drama
Hackers,Thriller
Jeffrey,Romance
Johnny Mnemonic,Drama
Lord of Illusions,Thriller
Mighty Morphin Power Rangers: The Movie,Science
Moonlight and Valentino,Romance
The Net,Mystery
The Prophecy,Thriller
The Scarlet Letter,Romance
Strange Days,Science
Unstrung Heroes,Family
Bushwhacked,Comedy
Castle Freak,Horror
Circle of Friends,Romance
Don Juan DeMarco,Comedy
Disclosure,Crime
Drop Zone,Thriller
Destiny Turns on the Radio,Fantasy
Death and the Maiden,Mystery
Dolores Claiborne,Mystery
Eat Drink Man Woman,Romance
Exit to Eden,Crime
Ed Wood,History
Forget Paris,Romance
Far from Home: The Adventures of Yellow Dog,Drama
A Goofy Movie,Family
Fluke,Fantasy
Gordy,Fantasy
Gumby: The Movie,Science
The Glass Shield,Thriller
Immortal Beloved,Romance
Heavyweights,Drama
I.Q.,Romance
Junior,Romance
Just Cause,Mystery
A Kid in King Arthur's Court,Comedy
Star Wars,Science
A Little Princess,Fantasy
Legends of the Fall,Romance
Major Payne,Family
The Madness of King George,History
Mary Shelley's Frankenstein,Science
Man of the House,Family
Mixed Nuts,Romance
Miracle on 34th Street,Family
New York Cop,Crime
Natural Born Killers,Drama
Only You,Romance
Poison Ivy II: Lily,Thriller
Outbreak,Science
Leon: The Professional,Drama
The Perez Family,Romance
A Pyromaniac's Love Story,Romance
Three Colors: Red,Romance
Three Colors: Blue,Mystery
Three Colors: White,Mystery
Rent-a-Kid,TV
The Secret of Roan Inish,Fantasy
Stargate,Science
The Santa Clause,Comedy
The Sum of Us,Romance
To Live,War
Tank Girl,Fantasy
Tales from the Crypt: Demon Knight,Thriller
Tales from the Hood,Thriller
Village of the Damned,Science
Virtuosity,Science
While You Were Sleeping,Romance
Muriel's Wedding,Romance
The Baby-Sitters Club,Family
Bitter Moon,Romance
Bullets Over Broadway,Thriller
Clear and Present Danger,Thriller
The Client,Crime
"Corrina, Corrina",Family
The Crow,Thriller
The Flintstones,Family
Forrest Gump,Romance
Four Weddings and a Funeral,Romance
Higher Learning,Crime
I Like It Like That,Romance
I Love Trouble,Romance
It Could Happen to You,Romance
The Lion King,Drama
New Nightmare,Mystery
The Mask,Crime
Maverick,Comedy
Red Rock West,Thriller
The River Wild,Crime
Speed,Crime
Wyatt Earp,Western
A Low Down Dirty Shame,Crime
Jason's Lyric,Romance
Street Fighter,Thriller
Fall Time,Crime
Girl in the Cadillac,Crime
Highlander: The Final Dimension,Science
In the Mouth of Madness,Thriller
Addams Family Values,Fantasy
Airheads,Music
Bad Girls,Comedy
Barcelona,Romance
Being Human,Fantasy
Beverly Hills Cop III,Crime
Black Beauty,Drama
Blink,Drama
Carlito's Way,Drama
City Slickers II: The Legend of Curly's Gold,Drama
Clean Slate,Mystery
Cliffhanger,Thriller
Color of Night,Romance
Cops & Robbersons,Family
The Cowboy Way,Comedy
Demolition Man,Science
Even Cowgirls Get the Blues,Comedy
The Favor,Romance
Flesh and Bone,Romance
Widows' Peak,Mystery
The Firm,Thriller
Fresh,Thriller
The Fugitive,Thriller
